City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
237,Vung Tau,VN,2021-11-06 17:19:53,10.346,107.0843,80.58,84,52,12.19,broken clouds
238,Nadadores,MX,2021-11-06 17:19:59,27.05,-101.6,62.24,60,0,2.77,clear sky
239,Teya,RU,2021-11-06 17:20:00,60.3778,92.6267,24.06,91,98,9.31,overcast clouds
240,Esperance,AU,2021-11-06 17:20:00,-33.8667,121.9,51.62,74,0,4.59,clear sky
241,Murowana Goslina,PL,2021-11-06 17:20:01,52.5746,17.0093,50.23,48,46,12.37,scattered clouds
242,Nokaneng,BW,2021-11-06 17:20:01,-19.6667,22.2667,85.08,32,86,7.36,overcast clouds
243,Toora-Khem,RU,2021-11-06 17:20:02,52.4675,96.11,9.97,97,100,0.89,overcast clouds
244,Jardim,BR,2021-11-06 17:20:03,-21.4803,-56.1381,70.27,93,100,7.49,overcast clouds
245,Bara,NG,2021-11-06 17:20:04,10.3744,10.7288,86.79,22,92,4.88,overcast clouds
246,Riyadh,SA,2021-11-06 17:20:03,24.6877,46.7219,75.34,25,0,7.67,clear sky
247,Apache Junction,US,2021-11-06 17:20:05,33.4151,-111.5496,81.93,26,1,3.0,clear sky
248,Deming,US,2021-11-06 17:20:06,32.2687,-107.7586,74.25,22,1,6.91,clear sky
249,Am Timan,TD,2021-11-06 17:20:07,11.0297,20.2827,90.23,27,51,4.74,broken clouds
250,La Rochelle,FR,2021-11-06 17:16:02,46.1667,-1.15,51.87,71,90,5.75,overcast clouds
251,Chapais,CA,2021-11-06 17:20:07,49.7834,-74.8492,38.98,77,68,12.62,broken clouds
252,Carnarvon,AU,2021-11-06 17:20:08,-24.8667,113.6333,64.47,72,0,20.71,clear sky
253,Svetlaya,RU,2021-11-06 17:20:08,46.5389,138.3297,35.08,47,100,9.84,overcast clouds
254,Thompson,CA,2021-11-06 17:20:09,55.7435,-97.8558,30.36,93,90,8.05,light snow
255,Bandarbeyla,SO,2021-11-06 17:20:09,9.4942,50.8122,77.61,72,33,12.17,scattered clouds
256,Thunder Bay,CA,2021-11-06 17:19:01,48.4001,-89.3168,51.78,83,90,5.75,overcast clouds
257,Fuerte Olimpo,PY,2021-11-06 17:20:10,-21.0415,-57.8738,63.25,87,100,6.85,overcast clouds
258,Guadalajara,MX,2021-11-06 17:19:16,20.6667,-103.3333,71.98,53,4,3.53,clear sky
